   5034 root      20   0  238224  18756   2896 R  52,9   1,0   0:00.45 mem2.sh
   5033 root      20   0  238092  18556   2960 R  47,1   1,0   0:00.45 mem.sh
      1 root      20   0  186392   1316      0 S   0,0   0,1   0:01.82 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp

   5033 root      20   0  270696  51292   2960 R  38,9   2,8   0:01.40 mem.sh
   5034 root      20   0  270432  50964   2896 R  38,9   2,7   0:01.39 mem2.sh
      1 root      20   0  186392   1316      0 S   0,0   0,1   0:01.82 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp

   5033 root      20   0  302376  82972   2960 R  36,8   4,5   0:02.36 mem.sh
   5034 root      20   0  302376  82908   2896 R  36,8   4,5   0:02.36 mem2.sh
      1 root      20   0  186392   1316      0 S   0,0   0,1   0:01.82 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp

   5033 root      20   0  329700 110164   2960 R  47,1   5,9   0:03.31 mem.sh
   5034 root      20   0  329832 110364   2896 R  47,1   5,9   0:03.31 mem2.sh
      1 root      20   0  186392   1316      0 S   0,0   0,1   0:01.82 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp

   5033 root      20   0  358872 139468   2960 R  44,4   7,5   0:04.24 mem.sh
   5034 root      20   0  359268 139668   2896 R  44,4   7,5   0:04.25 mem2.sh
      1 root      20   0  186392   1316      0 S   0,0   0,1   0:01.82 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp

   5033 root      20   0  389100 169828   2960 R  44,4   9,1   0:05.19 mem.sh
   5034 root      20   0  389100 169764   2896 R  38,9   9,1   0:05.18 mem2.sh
      1 root      20   0  186392   1316      0 S   0,0   0,1   0:01.82 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp

   5033 root      20   0  422496 203092   2960 R  47,4  10,9   0:06.16 mem.sh
   5034 root      20   0  422760 203292   2896 R  36,8  10,9   0:06.15 mem2.sh
      1 root      20   0  186392   1316      0 S   0,0   0,1   0:01.82 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp

   5033 root      20   0  456288 236884   2960 R  47,1  12,7   0:07.13 mem.sh
   5034 root      20   0  456288 236820   2896 R  41,2  12,7   0:07.12 mem2.sh
